Title,Runtime,User Rating,Metascore,Votes,Imdb Gross,Genre
Star Wars: Episode VII - The Force Awakens,138 min,7.8,80        ,887830,"936,662,225",Action
Avengers: Endgame,181 min,8.4,78        ,951959,"858,373,000",Action
Avatar,162 min,7.8,83        ,1160469,"760,507,625",Action
Black Panther,134 min,7.3,88        ,681794,"700,059,566",Action
Avengers: Infinity War,149 min,8.4,68        ,933757,"678,815,482",Action
Jurassic World,124 min,7.0,59        ,603438,"652,270,625",Action
The Avengers,143 min,8.0,69        ,1313011,"623,279,547",Action
Star Wars: Episode VIII - The Last Jedi,152 min,6.9,84        ,591528,"620,181,382",Action
Incredibles 2,118 min,7.6,80        ,270721,"608,581,744",Animation
The Lion King,118 min,6.8,55        ,227720,"543,638,043",Animation
The Dark Knight,152 min,9.0,84        ,2432726,"534,858,444",Action
Rogue One: A Star Wars Story,133 min,7.8,65        ,583158,"532,177,324",Action
Star Wars: The Rise Of Skywalker,141 min,6.5,53        ,406207,"515,202,542",Action
Beauty and the Beast,129 min,7.1,65        ,289771,"504,014,165",Adventure
Finding Dory,97 min,7.3,77        ,256014,"486,295,561",Animation
Frozen II,103 min,6.8,64        ,153541,"477,373,578",Animation
Avengers: Age of Ultron,141 min,7.3,66        ,795756,"459,005,868",Action
The Dark Knight Rises,164 min,8.4,78        ,1585934,"448,139,099",Action
Shrek 2,93 min,7.2,75        ,438156,"436,471,036",Animation
Toy Story 4,100 min,7.7,84        ,224603,"434,038,008",Animation
Captain Marvel,123 min,6.8,64        ,496265,"426,829,839",Action
The Hunger Games: Catching Fire,146 min,7.5,76        ,635248,"424,668,047",Action
Pirates of the Caribbean: Dead Man's Chest,151 min,7.3,53        ,678205,"423,315,812",Action
Jurassic World: Fallen Kingdom,128 min,6.2,51        ,284809,"417,719,760",Action
Toy Story 3,103 min,8.2,92        ,789308,"415,004,880",Animation
Wonder Woman,141 min,7.4,76        ,614178,"412,563,408",Action
Iron Man Three,130 min,7.1,62        ,794855,"409,013,994",Action
Captain America: Civil War,147 min,7.8,75        ,713478,"408,084,349",Action
The Hunger Games,142 min,7.2,68        ,875664,"408,010,692",Action
Jumanji: Welcome to the Jungle,119 min,6.9,58        ,347107,"404,515,480",Action
Spider-Man,121 min,7.3,73        ,729364,"403,706,375",Action
Transformers: Revenge of the Fallen,149 min,6.0,35        ,395199,"402,111,870",Action
Frozen,102 min,7.4,75        ,594068,"400,738,009",Animation
Spider-Man: Far from Home,129 min,7.4,69        ,385933,"390,532,085",Action
Guardians of the Galaxy Vol. 2,136 min,7.6,67        ,614978,"389,813,101",Action
Harry Potter and the Deathly Hallows: Part 2,130 min,8.1,85        ,807005,"381,011,219",Adventure
Finding Nemo,100 min,8.1,90        ,987711,"380,843,261",Animation
Star Wars: Episode III - Revenge of the Sith,140 min,7.5,68        ,740606,"380,262,555",Action
The Lord of the Rings: The Return of the King,201 min,8.9,94        ,1717613,"377,845,905",Action
Spider-Man 2,127 min,7.3,83        ,579114,"373,585,825",Action
The Passion of the Christ,127 min,7.2,47        ,223233,"370,782,930",Drama            
The Secret Life of Pets,87 min,6.5,61        ,191950,"368,384,330",Animation
Despicable Me 2,98 min,7.3,62        ,382218,"368,061,265",Animation
The Jungle Book,106 min,7.4,77        ,267954,"364,001,123",Adventure
Deadpool,108 min,8.0,65        ,954467,"363,070,709",Action
Inside Out,95 min,8.1,94        ,657533,"356,461,711",Animation
Aladdin,128 min,6.9,53        ,246200,"355,559,216",Adventure
Furious 7,137 min,7.1,67        ,376013,"353,007,020",Action
Transformers: Dark of the Moon,154 min,6.2,42        ,395085,"352,390,543",Action
American Sniper,133 min,7.3,72        ,459801,"350,126,372",Action
The Lord of the Rings: The Two Towers,179 min,8.7,87        ,1552803,"342,551,365",Action
Zootopia,108 min,8.0,78        ,461066,"341,268,248",Animation
The Hunger Games: Mockingjay - Part 1,123 min,6.6,64        ,431981,"337,135,885",Action
