age,class,gpa,race,gender,familyinc,mothereduc,fathereduc,sat,highgpa,major,study,credits,hourswork,wwuemploy,wage,empurp
22,Senior,3.94,White,Male,"Over $200,000",Post Graduate,Post Graduate,1280.0,3.2,business,15-20 hours,13-17,0-10 hours,Yes,13.5,Choice
22,Senior,3.7,White,Female,"$75,000-$99,999","Some College, no degree","Some College, no degree",1100.0,3.86,humanities,15-20 hours,13-17,30-40 hours,Yes,16.7,Need
22,Senior,3.89,White,Female,"$100,000-$200,000",Associates Degree (2-year degree),Post Graduate,1540.0,3.7,science,15-20 hours,13-17,0 hours,,,
25,Junior,3.0,mix,Female,"$75,000-$99,999",Post Graduate,"Some College, no degree",,2.7,humanities,10-15 hours,13-17,10-20 hours,No,13.69,Choice
24,Senior,2.9,White,Male,"$100,000-$200,000",Associates Degree (2-year degree),Associates Degree (2-year degree),,3.5,science,5-10 hours,8-12,10-20 hours,Yes,13.5,Choice
21,Junior,3.15,White,Male,"Over $200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),1080.0,3.3,humanities,Less than 5 hours,13-17,30-40 hours,No,15.0,Choice
20,Sophomore,3.6,White,Female,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),1250.0,2.5,science,10-15 hours,13-17,0 hours,,,
22,Senior,3.9,White,Male,"$35,000-$49,999",Associates Degree (2-year degree),Bachelorâ€™s Degree (4-year degree),2100.0,3.4,envir,5-10 hours,13-17,10-20 hours,Yes,13.69,Need
20,Sophomore,3.27,White,Female,"Over $200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),1090.0,3.25,envir,5-10 hours,13-17,10-20 hours,Yes,13.29,Need
24,Senior,3.9,mix,Male,"$35,000-$49,999",Associates Degree (2-year degree),Associates Degree (2-year degree),,3.3,business,10-15 hours,8-12,0 hours,,,
21,Junior,3.37,White,Female,"$35,000-$49,999",Associates Degree (2-year degree),Bachelorâ€™s Degree (4-year degree),,3.8,humanities,20-25 hours,13-17,10-20 hours,No,15.0,Choice
21,Senior,3.75,White,Male,"$100,000-$200,000",Post Graduate,Post Graduate,1400.0,3.8,humanities,5-10 hours,13-17,10-20 hours,Yes,14.0,Choice
24,Senior,3.75,White,Male,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),,2.2,science,More than 25 hours,8-12,0 hours,,,
20,Sophomore,3.95,White,Female,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),Post Graduate,1330.0,3.9,education,5-10 hours,13-17,10-20 hours,No,8.0,Choice
22,Senior,3.76,Asian,Male,"$50,000-$74,999",Less than a High School Diploma,Less than a High School Diploma,1256.0,3.89,business,5-10 hours,13-17,30-40 hours,No,55.0,Choice
27,Senior,3.22,White,Female,"Less than $35,000",High School Degree or Equivalent (e.g. GED),High School Degree or Equivalent (e.g. GED),,2.9,humanities,5-10 hours,13-17,30-40 hours,Yes,15.0,Need
20,Sophomore,3.85,White,Male,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),1480.0,3.6,science,20-25 hours,13-17,0 hours,,,
20,Junior,2.43,mix,Male,"$75,000-$99,999",Bachelorâ€™s Degree (4-year degree),Associates Degree (2-year degree),,3.6,other,Less than 5 hours,13-17,0 hours,,,
19,Freshman,3.94,White,Male,"$100,000-$200,000",Post Graduate,Bachelorâ€™s Degree (4-year degree),1240.0,3.96,,15-20 hours,13-17,0 hours,,,
20,Junior,3.77,Asian,Female,"$100,000-$200,000",High School Degree or Equivalent (e.g. GED),Bachelorâ€™s Degree (4-year degree),,3.9,art,20-25 hours,13-17,0 hours,,,
21,Junior,3.82,White,,"$100,000-$200,000",Post Graduate,High School Degree or Equivalent (e.g. GED),1350.0,3.7,humanities,Less than 5 hours,13-17,10-20 hours,Yes,10.0,Need
21,Senior,3.18,mix,Female,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),High School Degree or Equivalent (e.g. GED),1190.0,3.4,science,15-20 hours,8-12,10-20 hours,No,15.0,Need
21,Senior,3.89,White,Female,"Over $200,000",Post Graduate,Post Graduate,1460.0,3.9,humanities,More than 25 hours,13-17,0 hours,,,
19,Sophomore,3.97,White,Male,"$100,000-$200,000",High School Degree or Equivalent (e.g. GED),High School Degree or Equivalent (e.g. GED),1350.0,3.7,business,5-10 hours,13-17,30-40 hours,No,20.0,Need
21,Junior,2.94,mix,Female,"$75,000-$99,999",Associates Degree (2-year degree),"Some College, no degree",,3.6,humanities,20-25 hours,13-17,10-20 hours,Yes,13.5,Need
21,Senior,3.69,White,Female,"Over $200,000",Bachelorâ€™s Degree (4-year degree),Post Graduate,1600.0,3.84,science,5-10 hours,13-17,0 hours,,,
22,Senior,2.8,White,Male,"$100,000-$200,000",Bachelorâ€™s Degree (4-year degree),Bachelorâ€™s Degree (4-year degree),1600.0,3.5,business,5-10 hours,13-17,0 hours,,,
24,Senior,3.65,White,Male,"Over $200,000","Some College, no degree",Bachelorâ€™s Degree (4-year degree),,3.0,business,10-15 hours,13-17,0 hours,,,
